question,truth
54,0
52,24
57,0
56,11
45,8
44,18
49,17
48,4
42,30
40,55
63,14
65,11
67,0
70,0
72,25
75,0
77,0
78,0
60,40
62,0
6,52
8,7
3,0
4,0
100,27
1,37
14,0
17,0
11,0
12,0
69,2
68,0
66,0
64,2
76,2
74,19
73,51
71,7
61,46
59,0
15,0
13,0
18,0
16,2
2,48
99,2
7,0
5,49
10,2
9,23
97,0
80,14
93,0
95,18
90,0
91,4
88,0
86,9
81,8
84,0
26,6
28,15
38,0
19,8
21,0
23,6
29,9
31,52
36,0
35,13
98,11
96,34
82,0
79,10
83,1
85,8
89,0
87,0
94,0
92,24
25,32
24,0
22,0
20,17
37,17
34,20
32,0
33,32
30,0
27,0
41,0
43,4
50,17
51,15
46,47
47,0
58,3
39,4
53,0
55,1
154,0
152,0
157,0
156,0
145,0
144,19
149,0
148,61
142,13
140,54
163,10
165,0
167,0
170,0
172,32
175,0
177,8
178,0
160,8
162,0
106,13
108,10
103,2
104,0
200,15
101,2
114,0
117,0
111,0
112,0
169,0
168,10
166,0
164,13
176,2
174,1
173,7
171,8
161,64
159,0
115,0
113,0
118,12
116,0
102,13
199,1
107,0
105,0
110,0
109,25
197,14
180,2
193,0
195,0
190,0
191,5
188,0
186,17
181,0
184,0
126,0
128,10
138,0
119,0
121,0
123,17
129,0
131,87
136,0
135,0
198,0
196,11
182,0
179,0
183,0
185,0
189,0
187,0
194,0
192,26
125,15
124,0
122,0
120,8
137,7
134,15
132,0
133,27
130,0
127,0
141,0
143,4
150,0
151,5
146,4
147,0
158,9
139,0
153,0
155,0
254,0
252,3
257,0
256,5
245,6
244,17
249,30
248,30
242,8
240,0
263,24
265,0
267,3
270,0
272,45
275,0
277,0
278,0
260,0
262,0
206,67
208,75
203,0
204,0
300,75
201,56
214,0
217,0
211,0
212,9
269,0
268,0
266,0
264,0
276,0
274,1
273,0
271,0
261,0
259,0
215,0
213,0
218,7
216,32
202,53
299,70
207,0
205,0
210,11
209,0
297,0
280,47
293,0
295,0
290,0
291,0
288,0
286,2
281,8
284,0
226,17
228,49
238,0
219,5
221,0
223,0
229,19
231,18
236,0
235,33
298,0
296,0
282,0
279,9
283,23
285,28
289,0
287,0
294,15
292,16
225,77
224,8
222,6
220,11
237,28
234,48
232,0
233,84
230,0
227,0
241,0
243,6
250,0
251,46
246,26
247,0
258,82
239,0
253,6
255,0
354,4
352,48
357,63
356,6
345,10
344,0
349,2
348,8
342,0
340,0
363,2
365,0
367,55
370,68
372,11
375,31
377,5
378,40
360,7
362,15
306,0
308,0
303,8
304,41
400,17
301,0
314,45
317,43
311,14
312,0
369,50
368,18
366,60
364,2
376,0
374,19
373,0
371,0
361,42
359,2
315,43
313,47
318,0
316,0
302,0
399,0
307,63
305,0
310,30
309,0
397,6
380,0
393,53
395,0
390,37
391,0
388,56
386,0
381,53
384,17
326,0
328,0
338,0
319,34
321,32
323,0
329,21
331,0
336,75
335,20
398,0
396,0
382,0
379,22
383,8
385,0
389,17
387,46
394,38
392,13
325,0
324,32
322,23
320,13
337,2
334,0
332,44
333,0
330,60
327,50
341,36
343,31
350,13
351,0
346,0
347,65
358,0
339,33
353,0
355,7
454,8
452,6
457,0
456,1
445,20
444,53
449,0
448,14
442,2
440,36
463,3
465,40
467,0
470,0
472,28
475,0
477,0
478,8
460,26
462,0
406,22
408,29
403,0
404,2
500,22
401,11
414,0
417,16
411,0
412,3
469,0
468,2
466,3
464,17
476,0
474,9
473,3
471,0
461,31
459,0
415,0
413,0
418,21
416,93
402,40
499,36
407,0
405,14
410,2
409,28
497,0
480,86
493,0
495,15
490,0
491,0
488,0
486,4
481,13
484,0
426,22
428,41
438,0
419,3
421,0
423,41
429,14
431,23
436,0
435,23
498,4
496,40
482,0
479,36
483,11
485,57
489,0
487,0
494,9
492,38
425,50
424,0
422,0
420,7
437,1
434,45
432,0
433,95
430,0
427,0
441,0
443,5
450,11
451,8
446,21
447,0
458,60
439,1
453,21
455,67
554,4
552,18
557,0
556,18
545,17
544,12
549,16
548,5
542,9
540,13
563,21
565,22
567,56
570,13
572,43
575,8
577,49
578,17
560,36
562,12
506,22
508,2
503,73
504,26
600,22
501,6
514,8
517,79
511,2
512,2
569,9
568,26
566,16
564,33
576,10
574,21
573,27
571,2
561,27
559,36
515,40
513,56
518,57
516,46
502,0
599,24
507,24
505,15
510,16
509,12
597,75
580,10
593,65
595,59
590,4
591,19
588,37
586,33
581,25
584,19
526,13
528,12
538,14
519,12
521,35
523,23
529,16
531,25
536,10
535,16
598,38
596,13
582,53
579,3
583,8
585,7
589,4
587,31
594,11
592,5
525,9
524,5
522,44
520,5
537,2
534,0
532,25
533,20
530,19
527,29
541,24
543,12
550,20
551,0
546,6
547,23
558,0
539,2
553,26
555,12
654,4
652,29
657,60
656,-18
645,3
644,-39
649,-33
648,-30
642,-44
640,-64
663,-44
665,-46
667,45
670,62
672,-29
675,38
677,2
678,36
660,-32
662,27
606,-81
608,-67
603,35
604,43
700,-45
601,-66
614,44
617,52
611,12
612,-10
669,50
668,23
666,55
664,-13
676,-2
674,-2
673,-46
671,-10
661,13
659,27
615,54
613,61
618,-51
616,-90
602,-69
699,-72
607,62
605,-52
610,21
609,-44
697,18
680,-86
693,61
695,-34
690,34
691,-6
688,63
686,-23
681,38
684,14
626,-45
628,-52
638,16
619,26
621,32
623,-43
629,-2
631,-88
636,81
635,-18
698,-15
696,-32
682,14
679,-9
683,-6
685,-67
689,26
687,40
694,32
692,-48
625,-82
624,31
622,31
620,-34
637,-24
634,-42
632,51
633,-98
630,62
627,50
641,42
643,6
650,-10
651,-43
646,-56
647,67
658,-83
639,29
653,-28
655,-44
